ethanol_mass_percent,molality_mol_kg,gamma_pm_m
20,0.004014,0.919000
20,0.004499,0.918000
20,0.005000,0.913000
20,0.006003,0.906000
20,0.007006,0.894000
20,0.009002,0.883000
20,0.010300,0.875000
20,0.018940,0.844000
20,0.029990,0.818000
20,0.040050,0.788000
20,0.049970,0.776000
20,0.060020,0.759000
20,0.070050,0.753000
20,0.083020,0.731000
20,0.089940,0.726000
20,0.099870,0.723000
20,0.100500,0.730000
20,0.199900,0.668000
20,0.302300,0.646000
20,0.399700,0.617000
20,0.499900,0.610000
20,0.597200,0.592000
20,0.902100,0.582000
20,1.002000,0.570000
20,1.179000,0.574000
20,1.401000,0.562000
20,1.600000,0.574000
20,2.000000,0.580000
40,0.002999,0.908000
40,0.003996,0.894000
40,0.005001,0.887000
40,0.007000,0.866000
40,0.008958,0.853000
40,0.019970,0.804000
40,0.030550,0.768000
40,0.040000,0.737000
40,0.050010,0.716000
40,0.060000,0.699000
40,0.070010,0.691000
40,0.079980,0.674000
40,0.090030,0.665000
40,0.099880,0.648000
40,0.199800,0.600000
40,0.299600,0.563000
40,0.400100,0.538000
40,0.500200,0.518000
40,0.601600,0.508000
40,0.800100,0.490000
40,0.899800,0.481000
40,1.000000,0.479000
40,1.210000,0.464000
40,1.400000,0.468000
40,1.498000,0.465000
60,0.004001,0.863000
60,0.005000,0.850000
60,0.006001,0.832000
60,0.007000,0.821000
60,0.007997,0.808000
60,0.020000,0.726000
60,0.030000,0.684000
60,0.040000,0.659000
60,0.050000,0.635000
60,0.060000,0.618000
60,0.069990,0.601000
60,0.080010,0.589000
60,0.090010,0.575000
60,0.100000,0.566000
60,0.200000,0.492000
60,0.300000,0.456000
60,0.400000,0.429000
60,0.500000,0.415000
60,0.599700,0.399000
60,0.700000,0.392000
60,0.799900,0.382000
60,0.900000,0.377000
60,0.999600,0.375000
60,1.027000,0.368000
80,0.003001,0.791000
80,0.004000,0.764000
80,0.005000,0.745000
80,0.006000,0.720000
80,0.007000,0.705000
80,0.008002,0.691000
80,0.008999,0.674000
80,0.010000,0.659000
80,0.039990,0.503000
80,0.049990,0.472000
80,0.060010,0.466000
80,0.070000,0.455000
80,0.080010,0.437000
80,0.089990,0.427000
80,0.100000,0.411000
