dataset_number,T_K,value,expanded_uncertainty
1,110,0.0006,0.0006
1,120,0.0032,0.0016
1,130,0.018,0.0011
1,140,0.078,0.0031
1,150,0.283,0.005
1,160,0.851,0.009
1,170,2.205,0.01
1,180,5.068,0.011
1,190,10.547,0.016
1,200,20.193,0.019
1,210,36.032,0.023
1,220,60.574,0.019
1,230,96.775,0.024
1,240,148,0.033
1,250,217.964,0.037
1,260,310.685,0.05
1,270,430.425,0.065
1,280,581.684,0.07
1,290,769.143,0.077
1,300,997.682,0.09
1,310,1272.43,0.1
1,320,1598.87,0.11
1,330,1983,0.14
1,340,2431.45,0.17
2,90,728.457,0.137
2,95,723.3,0.136
2,100,718.169,0.135
2,110,707.968,0.133
2,120,697.825,0.131
2,130,687.713,0.13
2,140,677.601,0.128
2,150,667.462,0.127
2,160,657.272,0.125
2,170,647.004,0.124
2,180,636.628,0.122
2,190,626.123,0.121
2,200,615.456,0.119
2,210,604.594,0.118
2,220,593.499,0.117
2,230,582.132,0.116
2,240,570.444,0.115
2,250,558.383,0.114
2,260,545.88,0.113
2,270,532.853,0.113
2,280,519.198,0.113
2,290,504.796,0.114
2,300,489.465,0.115
2,310,472.968,0.118
2,320,454.951,0.124
2,330,434.869,0.132
2,340,411.772,0.138
3,230,2.3148,0.0051
3,240,3.4379,0.0063
3,250,4.9398,0.0081
3,260,6.9029,0.0098
3,270,9.423,0.0125
3,280,12.6155,0.0158
3,290,16.6231,0.0201
3,300,21.6299,0.0257
3,310,27.8854,0.0331
3,320,35.7463,0.043
3,330,45.7626,0.057
3,340,58.878,0.0666
