salt,molality_mol_kg,gamma_pm_m
LiCl,0.001,0.965
LiCl,0.002,0.952
LiCl,0.005,0.928
LiCl,0.01,0.904
LiCl,0.02,0.874
LiCl,0.05,0.827
LiCl,0.1,0.789
LiCl,0.2,0.756
LiCl,0.3,0.743
LiCl,0.4,0.739
LiCl,0.5,0.739
LiCl,0.6,0.742
LiCl,0.7,0.748
LiCl,0.8,0.756
LiCl,0.9,0.765
LiCl,1,0.775
LiCl,1.2,0.798
LiCl,1.4,0.825
LiCl,1.6,0.855
LiCl,1.8,0.888
LiCl,2,0.924
LiCl,2.5,1.029
LiCl,3,1.157
LiCl,3.5,1.312
LiCl,4,1.499
LiCl,4.5,1.726
LiCl,5,2
LiCl,5.5,2.33
LiCl,6,2.73
NaCl,0.001,0.965
NaCl,0.002,0.952
NaCl,0.005,0.928
NaCl,0.01,0.903
NaCl,0.02,0.872
NaCl,0.05,0.822
NaCl,0.1,0.779
NaCl,0.2,0.734
NaCl,0.3,0.709
NaCl,0.4,0.693
NaCl,0.5,0.681
NaCl,0.6,0.673
NaCl,0.7,0.667
NaCl,0.8,0.662
NaCl,0.9,0.659
NaCl,1,0.657
NaCl,1.2,0.655
NaCl,1.4,0.656
NaCl,1.6,0.658
NaCl,1.8,0.662
NaCl,2,0.668
NaCl,2.5,0.688
NaCl,3,0.714
NaCl,3.5,0.746
NaCl,4,0.783
NaCl,4.5,0.826
NaCl,5,0.874
NaCl,5.5,0.928
NaCl,6,0.986
KCl,0.001,0.965
KCl,0.002,0.951
KCl,0.005,0.927
KCl,0.01,0.901
KCl,0.02,0.869
KCl,0.05,0.816
KCl,0.1,0.768
KCl,0.2,0.717
KCl,0.3,0.687
KCl,0.4,0.665
KCl,0.5,0.649
KCl,0.6,0.636
KCl,0.7,0.626
KCl,0.8,0.617
KCl,0.9,0.61
KCl,1,0.604
KCl,1.2,0.594
KCl,1.4,0.586
KCl,1.6,0.58
KCl,1.8,0.576
KCl,2,0.573
KCl,2.5,0.568
KCl,3,0.568
KCl,3.5,0.571
KCl,4,0.576
KCl,4.5,0.584
KCl,4.803,0.589
KCl,5,0.593
LiBr,0.001,0.965
LiBr,0.002,0.952
LiBr,0.005,0.929
LiBr,0.01,0.905
LiBr,0.02,0.877
LiBr,0.05,0.832
LiBr,0.1,0.797
LiBr,0.2,0.767
LiBr,0.3,0.755
LiBr,0.4,0.752
LiBr,0.5,0.754
LiBr,0.6,0.759
LiBr,0.7,0.767
LiBr,0.8,0.778
LiBr,0.9,0.789
LiBr,1,0.803
LiBr,1.2,0.834
LiBr,1.4,0.871
LiBr,1.6,0.913
LiBr,1.8,0.96
LiBr,2,1.012
LiBr,2.5,1.166
LiBr,3,1.359
LiBr,3.5,1.598
LiBr,4,1.891
LiBr,4.5,2.252
LiBr,5,2.696
LiBr,5.5,3.242
LiBr,6,3.915
NaBr,0.001,0.965
NaBr,0.002,0.952
NaBr,0.005,0.928
NaBr,0.01,0.903
NaBr,0.02,0.873
NaBr,0.05,0.824
NaBr,0.1,0.783
NaBr,0.6,0.692
NaBr,0.7,0.688
NaBr,0.8,0.687
NaBr,0.9,0.686
NaBr,1,0.687
NaBr,1.2,0.691
NaBr,1.4,0.697
NaBr,3,0.816
NaBr,3.5,0.871
NaBr,4,0.934
NaBr,4.5,1.005
NaBr,5,1.083
NaBr,5.5,1.169
NaBr,6,1.261
KBr,0.001,0.965
KBr,0.002,0.952
KBr,0.005,0.927
KBr,0.01,0.902
KBr,0.02,0.87
KBr,0.05,0.817
KBr,0.1,0.771
KBr,0.2,0.722
KBr,0.3,0.693
KBr,0.4,0.673
KBr,0.5,0.658
KBr,0.6,0.646
KBr,0.7,0.637
KBr,0.8,0.629
KBr,0.9,0.622
KBr,1,0.617
KBr,1.2,0.608
KBr,1.4,0.602
KBr,1.6,0.598
KBr,1.8,0.595
KBr,2,0.593
KBr,2.5,0.592
KBr,3,0.595
KBr,3.5,0.6
KBr,4,0.608
KBr,4.5,0.617
KBr,5,0.626
KBr,5.5,0.637
