row_id,pathway,T_K,P_Pa,x_methane,x_ethane,u_x_methane,uc_x_methane,y_methane,y_ethane,u_y_methane,uc_y_methane,temperature_standard_uncertainty_K,pressure_standard_uncertainty_Pa,x_comparison_allowance,y_comparison_allowance
may2015-ch4-c2h6-001,isochoric,243.58,3949000,0.3099,0.6901,0.0028,0.0037,0.6664,0.3336,0.0033,0.0038,0.15,20000,0.0111,0.0114
may2015-ch4-c2h6-002,isochoric,203.22,2124000,0.3653,0.6347,0.0048,0.0064,0.8667,0.1333,0.0017,0.0023,0.15,20000,0.0192,0.0069
may2015-ch4-c2h6-003,isochoric,213.39,2517000,0.3464,0.6536,0.0039,0.0052,0.8289,0.1711,0.0020,0.0025,0.15,20000,0.0156,0.0075
may2015-ch4-c2h6-004,isochoric,223.50,2945000,0.3315,0.6685,0.0034,0.0045,0.7805,0.2195,0.0022,0.0028,0.15,20000,0.0135,0.0084
may2015-ch4-c2h6-005,isochoric,233.56,3417000,0.3188,0.6812,0.0030,0.0039,0.7245,0.2755,0.0018,0.0025,0.15,20000,0.0117,0.0075
may2015-ch4-c2h6-006,isothermal,243.60,3942000,0.3082,0.6918,0.0028,0.0037,0.6660,0.3340,0.0026,0.0031,0.15,20000,0.0111,0.0093
may2015-ch4-c2h6-007,isothermal,243.60,4831000,0.3973,0.6027,0.0031,0.0039,0.7046,0.2954,0.0022,0.0032,0.15,20000,0.0117,0.0096
may2015-ch4-c2h6-008,isothermal,243.60,5395000,0.4553,0.5447,0.0031,0.0040,0.7212,0.2788,0.0036,0.0038,0.15,20000,0.0120,0.0114
may2015-ch4-c2h6-009,isothermal,243.61,6080000,0.5273,0.4727,0.0033,0.0042,0.7222,0.2778,0.0021,0.0024,0.15,20000,0.0126,0.0072
may2015-ch4-c2h6-010,isothermal,243.61,6469000,0.5673,0.4327,0.0040,0.0049,0.7269,0.2731,0.0029,0.0031,0.15,20000,0.0147,0.0093
may2015-ch4-c2h6-011,isothermal,243.61,6691000,0.5957,0.4043,0.0044,0.0055,0.7188,0.2812,0.0027,0.0029,0.15,20000,0.0165,0.0087
may2015-ch4-c2h6-012,isothermal,243.60,6885000,0.6218,0.3782,0.0126,0.0133,0.7123,0.2877,0.0024,0.0028,0.15,20000,0.0399,0.0084
may2015-ch4-c2h6-013,isothermal,243.60,6487000,0.5754,0.4246,0.0039,0.0049,0.7199,0.2801,0.0022,0.0025,0.15,20000,0.0147,0.0075
may2015-ch4-c2h6-014,isothermal,243.60,5564000,0.4741,0.5259,0.0034,0.0042,0.7255,0.2745,0.0013,0.0018,0.15,20000,0.0126,0.0054
may2015-ch4-c2h6-015,isothermal,243.60,5094000,0.4255,0.5745,0.0032,0.0040,0.7144,0.2856,0.0024,0.0028,0.15,20000,0.0120,0.0084
may2015-ch4-c2h6-016,isothermal,243.61,3718000,0.2865,0.7135,0.0025,0.0034,0.6579,0.3421,0.0021,0.0028,0.15,20000,0.0102,0.0084
may2015-ch4-c2h6-017,isothermal,243.60,3675000,0.2812,0.7188,0.0032,0.0040,0.6510,0.3490,0.0040,0.0045,0.15,20000,0.0120,0.0135
